"dropperid","itemid","minimum_quantity","maximum_quantity","chance","id"
2000,4031161,1,1,1000000,1
2000,4031162,1,1,1000000,2
100100,0,4,6,400000,3
100100,1002067,1,1,1500,4
100100,1040002,1,1,700,5
100100,1052095,1,1,700,6
100100,1302000,1,1,700,7
100100,2000000,1,1,20000,8
100100,2010009,1,1,20000,9
100100,2040002,1,1,300,10
100100,2041001,1,1,300,11
100100,2041043,1,1,750,12
100100,2041045,1,1,750,13
100100,2060000,1,2,30000,14
100100,2061000,1,2,30000,15
100100,2380000,1,1,8000,16
100100,4000019,1,1,600000,17
100100,4010000,1,1,9000,18
100100,4020000,1,1,9000,19
100101,0,8,12,400000,20
100101,1040006,1,1,700,21
100101,1040013,1,1,800,22
100101,1040017,1,1,800,23
100101,1041012,1,1,800,24
100101,1060004,1,1,800,25
100101,1060013,1,1,800,26
100101,2000000,1,1,20000,27
100101,2010009,1,1,20000,28
100101,2041006,1,1,300,29
100101,2041043,1,1,750,30
100101,2060000,2,3,30000,31
100101,2061000,2,3,30000,32
100101,2380001,1,1,8000,33
100101,4000000,1,1,600000,34
100101,4010001,1,1,9000,35
100101,4010004,1,1,7000,36
100101,4020001,1,1,9000,37
100101,4020004,1,1,7000,38
100101,4030012,1,1,10000,39
100120,0,1,5,400000,40
100120,2010000,1,1,3000,41
100120,2060000,1,2,10000,42
100120,2061000,1,2,10000,43
100120,4003004,1,1,7000,44
100120,4020000,1,1,7000,45
100121,0,10,14,400000,46
100121,2000000,1,1,40000,47
100121,2060000,4,5,10000,48
100121,4000483,1,1,400000,49
100121,4003004,1,1,7000,50
100122,1452002,1,1,700,51
100122,2000000,1,1,40000,52
100122,4003004,1,1,7000,53
100122,4010002,1,1,7000,54
100122,4020002,1,1,7000,55
100123,2000000,1,1,40000,56
100123,2061000,9,12,10000,57
100123,4003004,1,1,7000,58
100123,4010003,1,1,7000,59
100124,2000000,1,1,40000,60
100124,2010009,1,1,3000,61
100124,2060000,11,14,10000,62
100124,2061000,11,14,10000,63
100124,4003004,1,1,7000,64
100124,4010004,1,1,7000,65
100124,4020004,1,1,7000,66
100130,1002008,1,1,1500,67
100130,1040010,1,1,800,68
100130,1041004,1,1,800,69
100130,1060007,1,1,800,70
100130,2010000,1,1,20000,71
100130,2010009,1,1,20000,72
100130,2040003,1,1,300,73
100130,2380015,1,1,8000,74
100130,4000493,1,1,600000,75
100130,4010005,1,1,9000,76
100130,4020005,1,1,9000,77
100131,1002002,1,1,1500,78
100131,1002019,1,1,1500,79
100131,1040013,1,1,800,80
100131,1041012,1,1,800,81
100131,1060004,1,1,800,82
100131,1072005,1,1,800,83
100131,2000000,1,1,20000,84
100131,2010009,1,1,20000,85
100131,2040400,1,1,300,86
100131,2040618,1,1,300,87
100131,2040619,1,1,750,88
100131,2380016,1,1,8000,89
100131,4000494,1,1,600000,90
100131,4010006,1,1,9000,91
100131,4020006,1,1,9000,92
100132,1002001,1,1,1500,93
100132,1002003,1,1,1500,94
100132,1040014,1,1,800,95
100132,1040015,1,1,800,96
100132,1041014,1,1,800,97
100132,1060008,1,1,800,98
100132,1061014,1,1,800,99
100132,1072004,1,1,800,100
100132,1082003,1,1,1000,101
100132,1442000,1,1,700,102
100132,2000000,1,1,20000,103
100132,2010009,1,1,20000,104
100132,2040823,1,1,300,105
100132,2041018,1,1,300,106
100132,2380017,1,1,8000,107
100132,4000495,1,1,600000,108
100132,4010000,1,1,9000,109
100132,4020007,1,1,9000,110
100133,1002007,1,1,1500,111
100133,1002041,1,1,1500,112
100133,1032001,1,1,1000,113
100133,1040038,1,1,800,114
100133,1041064,1,1,800,115
100133,1060028,1,1,800,116
100133,1061023,1,1,800,117
100133,1072009,1,1,800,118
100133,1082000,1,1,1000,119
100133,1442006,1,1,700,120
100133,2000000,1,1,20000,121
100133,2010009,1,1,20000,122
100133,2041004,1,1,300,123
100133,2041045,1,1,750,124
100133,2048000,1,1,300,125
100133,2380018,1,1,8000,126
100133,4000496,1,1,600000,127
100133,4010001,1,1,9000,128
100133,4020003,1,1,9000,129
100134,1002042,1,1,1500,130
